filename,S,PT,Gr,PR,PM,BF,BG,BR,BH,BV,FR,FG,FH,FV,Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths,regime
Run_S10_PT12_Gr33_PR14_PM230_BF6_BG18_BR19_BH15_BV2.6_FR28_FG11_FH12_FV1.7_IF10_IG7_IR17_IH12_IV1.7.csv,10,12,33,14,230,6,18,19,15,2.6,28,11,12,1.7,999.0,1044.0,0.0,78.0,59.39,15050.0,7936.0,2875.0,6526.0,2
Run_S10_PT12_Gr36_PR5_PM141_BF3_BG8_BR15_BH13_BV2.5_FR28_FG30_FH28_FV0.7_IF4_IG17_IR13_IH44_IV1.1.csv,10,12,36,5,141,3,8,15,13,2.5,28,30,28,0.7,999.0,363.0,0.0,101.0,77.19,5644.0,4854.0,2316.0,2194.0,2
Run_S10_PT12_Gr42_PR19_PM223_BF7_BG12_BR18_BH15_BV0.1_FR21_FG30_FH87_FV0.5_IF6_IG3_IR18_IH74_IV1.8.csv,10,12,42,19,223,7,12,18,15,0.1,21,30,87,0.5,999.0,369.0,0.0,158.0,400.51,8169.0,6055.0,2333.0,4576.0,2
Run_S10_PT12_Gr53_PR11_PM175_BF3_BG6_BR14_BH15_BV0.7_FR13_FG34_FH56_FV0.4_IF5_IG19_IR12_IH2_IV1.4.csv,10,12,53,11,175,3,6,14,15,0.7,13,34,56,0.4,999.0,462.0,0.0,52.0,333.82,3413.0,6067.0,1622.0,5019.0,2
Run_S10_PT12_Gr54_PR8_PM227_BF2_BG9_BR12_BH1_BV1.7_FR24_FG40_FH28_FV1.0_IF3_IG20_IR19_IH76_IV0.7.csv,10,12,54,8,227,2,9,12,1,1.7,24,40,28,1.0,999.0,1558.0,0.0,0.0,14.54,4674.0,2687.0,5870.0,24751.0,1
Run_S10_PT12_Gr55_PR20_PM218_BF4_BG19_BR11_BH7_BV0.7_FR20_FG38_FH65_FV1.6_IF7_IG1_IR18_IH71_IV1.6.csv,10,12,55,20,218,4,19,11,7,0.7,20,38,65,1.6,999.0,0.0,0.0,0.0,2046.0,7461.0,4231.0,611.0,5381.0,0
Run_S10_PT12_Gr58_PR13_PM63_BF9_BG7_BR9_BH8_BV0.8_FR24_FG17_FH38_FV2.2_IF5_IG18_IR16_IH46_IV0.9.csv,10,12,58,13,63,9,7,9,8,0.8,24,17,38,2.2,999.0,558.0,0.0,29.0,783.75,2896.0,4674.0,1861.0,9489.0,2
Run_S10_PT12_Gr63_PR20_PM149_BF9_BG11_BR16_BH1_BV1.8_FR24_FG46_FH46_FV2.1_IF3_IG12_IR10_IH76_IV0.4.csv,10,12,63,20,149,9,11,16,1,1.8,24,46,46,2.1,999.0,206.0,0.0,83.0,1844.47,15057.0,8922.0,1471.0,6596.0,2
Run_S10_PT12_Gr68_PR12_PM174_BF4_BG17_BR10_BH8_BV2.4_FR22_FG36_FH32_FV2.5_IF6_IG17_IR17_IH88_IV2.9.csv,10,12,68,12,174,4,17,10,8,2.4,22,36,32,2.5,999.0,0.0,0.0,0.0,2530.0,8047.0,4092.0,860.0,4222.0,0
Run_S10_PT12_Gr69_PR21_PM154_BF6_BG14_BR9_BH6_BV0.9_FR19_FG41_FH3_FV2.1_IF4_IG17_IR16_IH45_IV0.2.csv,10,12,69,21,154,6,14,9,6,0.9,19,41,3,2.1,999.0,0.0,0.0,0.0,2567.0,4589.0,603.0,716.0,6158.0,0
Run_S10_PT12_Gr82_PR21_PM194_BF8_BG8_BR15_BH19_BV2.7_FR22_FG20_FH16_FV2.3_IF8_IG6_IR17_IH84_IV2.7.csv,10,12,82,21,194,8,8,15,19,2.7,22,20,16,2.3,999.0,384.0,0.0,325.0,680.65,14115.0,11255.0,1889.0,3191.0,2
Run_S10_PT12_Gr85_PR11_PM175_BF9_BG7_BR14_BH5_BV3.0_FR25_FG40_FH83_FV0.3_IF9_IG18_IR14_IH49_IV1.7.csv,10,12,85,11,175,9,7,14,5,3.0,25,40,83,0.3,999.0,982.0,0.0,200.0,210.05,21989.0,15441.0,2330.0,3317.0,2
Run_S10_PT12_Gr85_PR20_PM212_BF8_BG19_BR13_BH17_BV1.7_FR27_FG39_FH57_FV1.7_IF3_IG8_IR15_IH91_IV1.6.csv,10,12,85,20,212,8,19,13,17,1.7,27,39,57,1.7,999.0,0.0,0.0,0.0,3162.0,7699.0,5508.0,652.0,2694.0,0
Run_S10_PT12_Gr87_PR22_PM82_BF3_BG13_BR12_BH12_BV2.9_FR19_FG20_FH7_FV0.3_IF9_IG4_IR11_IH27_IV1.0.csv,10,12,87,22,82,3,13,12,12,2.9,19,20,7,0.3,999.0,411.0,0.0,1663.0,1581.39,59926.0,18039.0,5408.0,27495.0,2
